0.144307216	0.073991225	0.149825456	0.085073261	0.138552585	0.060002716	0.130233978	0.056172018	0.146131326	0.061079147
0.080446367	0.06387105	0.068702433	0.059314093	0.072812164	0.054424419	0.061038382	0.101363103	0.074139618	0.061780658
0.064938183	0.054806463	0.062835933	0.05056345	0.066648056	0.044607002	0.069177489	0.045748148	0.070026444	0.048765697
0.060391338	0.072801388	0.057998737	0.046811799	0.057740942	0.047023784	0.056718422	0.051210498	0.056821171	0.050774291
0.054042213	0.061329944	0.051832087	0.075132106	0.053605044	0.048401355	0.05119531	0.040815673	0.055163174	0.066551643
0.052059201	0.043330527	0.05349398	0.042250516	0.05382104	0.04616201	0.051069304	0.050116564	0.055915186	0.078167192
0.050366951	0.044305441	0.049292135	0.065927079	0.049295746	0.048154565	0.048377719	0.053031973	0.050136706	0.070254605
0.04635584	0.080660733	0.050923434	0.044231223	0.046782915	0.041182702	0.048459968	0.047010534	0.046473422	0.039599645
0.048031118	0.049015626	0.044321426	0.03989834	0.045737438	0.049711982	0.047931244	0.048089961	0.045744861	0.039467304
0.043564628	0.045938503	0.049767772	0.049698133	0.044160969	0.041020522	0.050399058	0.049859233	0.049216887	0.044967016
0.044880428	0.04907653	0.044388307	0.038683206	0.043381693	0.039634889	0.043996593	0.045340331	0.042892499	0.038960429
0.044205717	0.043140721	0.044826843	0.047221288	0.043032726	0.040403461	0.043509499	0.042712315	0.04294829	0.042291222
0.043596224	0.051231677	0.043387679	0.039544057	0.043159882	0.044564905	0.044145949	0.042029203	0.043209533	0.040098116
0.041835471	0.049716579	0.040249189	0.038413127	0.041333228	0.038423751	0.041851603	0.040776966	0.041694311	0.037860792
0.042780697	0.038718613	0.039937513	0.043787416	0.044426334	0.053990108	0.041056541	0.040893419	0.040146875	0.037417913
0.040035503	0.047806336	0.039390726	0.059376399	0.042215639	0.050893114	0.041018767	0.055149645	0.039942958	0.039523728
0.042207267	0.048661123	0.041263277	0.044463349	0.040802127	0.042637731	0.038856578	0.036517689	0.038850459	0.037945154
0.040973843	0.041581218	0.040594805	0.038040607	0.040120112	0.036515901	0.163154874	0.053958583	0.03915718	0.039607903
0.040020647	0.037243343	0.04175042	0.045128513	0.038339217	0.045825032	0.074697802	0.048452079	0.038820013	0.040416487
0.039439333	0.036830882	0.039059031	0.039564176	0.038086601	0.04217736	0.065598603	0.044076409	0.040399766	0.037447949
