0.177900553	0.051079625		0.203680709	0.107976027		0.216776256	0.04014911		0.223798244	0.120653729		0.205517607	0.074423419
0.065651366	0.063658171		0.069923461	0.052388392		0.09231471	0.062754052		0.06552997	0.051520596		0.058828311	0.053384011
0.057591495	0.035954201		0.053974401	0.08061734		0.04832041	0.048993946		0.063423958	0.054051151		0.055236316	0.043694887
0.051326471	0.037544026		0.062540017	0.037676759		0.039626948	0.036603707		0.056174464	0.035926707		0.047993013	0.039227931
0.051123808	0.035929126		0.055891453	0.039459594		0.047150059	0.044798148		0.046605709	0.050367965		0.047640136	0.040133005
0.049309962	0.040640617		0.042664255	0.035970257		0.049130606	0.033437571		0.055123519	0.039662973		0.046322668	0.049786274
0.049233538	0.046151458		0.046936986	0.064004807		0.051070516	0.03170718		0.041323684	0.032137293		0.048377963	0.030102461
0.035795018	0.061829162		0.057787393	0.042478974		0.048172786	0.037073024		0.04202197	0.057620446		0.032821167	0.02647193
0.043469966	0.03237076		0.035694044	0.034208346		0.042598575	0.035506663		0.039356388	0.035599609		0.041842888	0.0302226
0.043046406	0.027898786		0.039333096	0.027951819		0.03412033	0.030508507		0.039358387	0.035487556		0.04056187	0.042955961
0.033871589	0.028533394		0.037157217	0.027227342		0.02796003	0.02825225		0.034451826	0.036563519		0.033134283	0.045802294
0.030783167	0.040788608		0.03018515	0.026218367		0.032998112	0.039890849		0.03585072	0.041903451		0.033129385	0.025257674
0.048856807	0.034565992		0.039547701	0.029897072		0.037921718	0.030259434		0.037010253	0.027671637		0.030106645	0.033400632
0.03373627	0.028458765		0.044078931	0.030099797		0.034566758	0.041490746		0.030709526	0.024748021		0.036622853	0.033873798
0.031024461	0.025310978		0.039315294	0.060325818		0.030415285	0.024394459		0.035320847	0.029133785		0.035189354	0.031614028
0.032066666	0.025822191		0.037669816	0.037910701		0.037279284	0.029279511		0.038019837	0.082154397		0.034967474	0.032790746
0.035411527	0.027372477		0.028431365	0.024366805		0.038402152	0.07107041		0.045851751	0.033214528		0.029102465	0.037045497
0.029767798	0.025380698		0.030552779	0.025484767		0.03741571	0.074860974		0.03256348	0.024230947		0.029472282	0.031522481
0.030397735	0.027375861		0.032391755	0.025354713		0.035218058	0.027395133		0.026941974	0.028961357		0.028090246	0.024029024
0.033112672	0.043891722		0.026225377	0.023725381		0.028140644	0.0270914		0.038205289	0.063725893		0.028662007	0.028041117
0.030616204	0.029237706		0.023432144	0.029132074		0.032082515	0.023681131		0.027004969	0.030315736		0.031969067	0.025307591
0.026898394	0.026301184		0.024737324	0.02346631		0.026548444	0.026076647		0.02816542	0.031171039		0.027079266	0.023665791
0.025059609	0.024585259		0.025318018	0.022141788		0.028586055	0.024999967		0.026629533	0.026058271		0.027142245	0.050274555
0.026905025	0.024577894		0.027652255	0.023890145		0.02927276	0.029660376		0.027944332	0.02236708		0.029208285	0.028425042
0.02994732	0.023511705		0.024339922	0.028754848		0.026634861	0.023517828		0.028003844	0.023895308		0.029481549	0.022998967
0.026898254	0.03221967		0.025862191	0.025998872		0.024812016	0.026126153		0.03344654	0.035342244		0.026955512	0.026104663
0.033914731	0.045002614		0.027186436	0.038351168		0.035297413	0.047205504		0.029473242	0.022965108		0.024786063	0.02766326
0.027196714	0.025652342		0.025747305	0.032271803		0.032107513	0.023241079		0.025753145	0.023129956		0.035908631	0.02408113
0.023691605	0.022638085		0.022697885	0.025194688		0.025803217	0.027255173		0.03150823	0.030388542		0.027664931	0.028534389
0.024639417	0.028408819		0.023944889	0.023882919		0.024555927	0.024260956		0.024205795	0.023113615		0.024681551	0.023236212
0.025575228	0.031715889		0.022751663	0.025809528		0.028635194	0.031313765		0.025954616	0.0317628		0.02610212	0.030351843
